Omega,switch_rate,mean_sigma_z_full,mean_sigma_z_effective,stationary_trace_distance,relative_spectral_distance,zero_frequency_spectrum_ratio,slowest_visible_decay_rate,sigma_full,sigma_hidden
0.0,31.622776601683793,-0.404601158632255,-0.4015019152808916,0.001549621675681706,0.005264476457329273,1.0066913955010695,2.2191572855477766,0.12910417637856492,0.12910417637856478
0.0,37.58374042884443,-0.40411990265749276,-0.4015019152808916,0.0013089936883005915,0.0044447858275873196,1.0056655478009173,2.2227122119666394,0.12961407396933597,0.1296140739693367
0.0,44.66835921509626,-0.4037120215319885,-0.4015019152808916,0.0011050531255484553,0.0037505225761877256,1.0047923321741574,2.2257040990785892,0.1300462298575164,0.1300462298575168
0.0,53.08844442309879,-0.4033667193859884,-0.4015019152808916,0.0009324020525484089,0.0031631696007895574,1.0040503718360994,2.2282219287494565,0.13041208242157115,0.13041208242157082
0.0,63.0957344480193,-0.40307467520417534,-0.4015019152808916,0.000786379961641881,0.0026667328677790823,1.0034208970607577,2.230340698696155,0.13072150741058824,0.13072150741058772
0.0,74.98942093324558,-0.40282787492415467,-0.4015019152808916,0.0006629798216315486,0.0022474652095361846,1.002887543410632,2.2321235884385486,0.13098299583833456,0.13098299583833362
0.0,89.12509381337459,-0.40261945218966044,-0.4015019152808916,0.000558768454384434,0.0018935972167833256,1.0024361267823056,2.2336238027010795,0.13120382270751366,0.13120382270751257
0.0,105.92537251772876,-0.4024435411263476,-0.4015019152808916,0.00047081292272802,0.0015950846933407445,1.0020544124984727,2.234886134966062,0.13139020299591941,0.1313902029959197
0.0,125.89254117941663,-0.4022951427861937,-0.4015019152808916,0.00039661375265107046,0.0013433777502867706,1.001731889962019,2.2359482905108448,0.13154743316050327,0.13154743316050233
0.0,149.6235656094433,-0.4021700057295038,-0.4015019152808916,0.0003340452243061065,0.0011312136130633922,1.0014595600848768,2.236842004060037,0.13168001766244938,0.13168001766244883
0.0,177.82794100389228,-0.40206452044367214,-0.4015019152808916,0.0002813025813902803,0.0009524332688692848,1.0012297395746748,2.2375939828281215,0.13179178083200563,0.13179178083200277
0.0,211.34890398366477,-0.4019756268243555,-0.4015019152808916,0.00023685577173196415,0.0008018209010976012,1.0010358839645581,2.238226701573914,0.13188596489350599,0.13188596489350315
0.0,251.18864315095772,-0.401900733680445,-0.4015019152808916,0.00019940919977670668,0.0006749644039613452,1.0008724297835228,2.238759072498694,0.13196531525100377,0.13196531525100724
0.0,298.53826189179574,-0.40183764910414804,-0.4015019152808916,0.00016786691162823386,0.0005681349652313018,1.0007346553052567,2.2392070094565395,0.13203215426216486,0.1320321542621582
0.0,354.8133892335753,-0.4017845205230324,-0.4015019152808916,0.00014130262107039937,0.0004781836198838757,1.0006185587324157,2.2395839030142866,0.13208844475398757,0.13208844475398293
0.0,421.6965034285823,-0.401739783286595,-0.4015019152808916,0.00011893400285170608,0.0004024527291577991,1.0005207523612247,2.2399010203625047,0.1321358444960655,0.13213584449606372
0.0,501.18723362727246,-0.40170211671274014,-0.4015019152808916,0.00010010071592428393,0.0003387004659842279,1.0004383711373477,2.240167841918239,0.13217575276997456,0.13217575276997176
0.0,595.6621435290098,-0.40167040661036146,-0.4015019152808916,8.424566473494433e-05,0.0002850365562316491,1.0003689940027836,2.2403923446122516,0.1322093500771333,0.1322093500771357
0.0,707.9457843841374,-0.4016437133934787,-0.4015019152808916,7.08990562935663e-05,0.00023986770759046674,1.0003105764941067,2.2405812402870264,0.13223763192233046,0.13223763192233576
0.0,841.3951416451947,-0.401621245001927,-0.4015019152808916,5.96648605176997e-05,0.0002018513411136527,1.000261393159296,2.2407401763084223,0.13226143750464317,0.1322614375046403
0.0,1000.0,-0.40160233393873335,-0.4015019152808916,5.020932892088603e-05,0.00016985641365700025,1.0002199884861287,2.240873904375224,0.13228147404666443,0.13228147404665774
0.15,0.001,-0.5108616090025246,-0.3979380749992774,0.06483792811479766,0.8989820142858191,66.0839812257924,0.0019999999999998513,0.016367893177221825,0.008900945198150746
0.15,0.001188502227437019,-0.5108397365589021,-0.3979380749992774,0.06482072070254416,0.8842413055685215,55.79793160792608,0.0023770044548737045,0.016391107906704432,0.008926154966464433
0.15,0.001412537544622754,-0.5108137487586694,-0.3979380749992774,0.0648002836190182,0.8676820793861943,47.1271955331404,0.0028250750892453106,0.01641869051257433,0.008956106271986789
0.15,0.0016788040181225606,-0.5107828730069568,-0.3979380749992774,0.06477601379766229,0.8492369639137286,39.822076612574236,0.0033576080362452943,0.016451460982086493,0.008991688549833485
0.15,0.001995262314968879,-0.5107461923791051,-0.3979380749992774,0.06474719683967775,0.8288778580060737,33.66986424035029,0.003990524629938022,0.016490392480033065,0.009033957099863868
0.15,0.0023713737056616554,-0.5107026189545464,-0.3979380749992774,0.06471298698351656,0.8066245770203737,28.49002024084947,0.0047427474113232474,0.016536639646987105,0.009084163612398619
0.15,0.002818382931264455,-0.5106508623485004,-0.3979380749992774,0.06467238368485966,0.7825515104122159,24.129706594365018,0.005636765862529086,0.01659157199301358,0.009143792143271424
0.15,0.003349654391578276,-0.5105893926289733,-0.3979380749992774,0.06462420432168309,0.7567911598056254,20.459769022099817,0.0066993087831565944,0.0166568132480505,0.009214601440023257
