switch_rate,p_excited_hot,p_ground_hot,p_excited_cold,p_ground_cold,J_hot_numeric,J_cold_numeric,J_hot_exact,FCS_mean_hot_quanta,FCS_variance_rate,Fano_factor,entropy_production_example
0.025118864315095822,0.18761953047196517,0.31238046952803494,0.06442087198063644,0.43557912801936355,0.0030946103864453456,-0.003094610386445512,0.0030946103864455095,0.0030946103895036882,0.004443530119791475,1.435893233882707,0.004641915579668018
0.02818382931264455,0.18734601169176174,0.31265398830823726,0.06492883542958458,0.43507116457041634,0.003450184800709244,-0.003450184800709133,0.00345018480070914,0.003450184802230914,0.0049517345028123015,1.4352084849514366,0.005175277201063866
0.03162277660168379,0.18704322032473558,0.3129567796752644,0.06549116225406254,0.43450883774593746,0.0038438135778437466,-0.0038438135778437812,0.0038438135778437878,0.0038438135797594173,0.005513779928152126,1.4344556034627547,0.00576572036676562
0.035481338923357565,0.1867085375265118,0.31329146247348966,0.06611271602219333,0.43388728397780524,0.004278901215535397,-0.004278901215535459,0.0042789012155354305,0.00427890121808634,0.006134477084494769,1.4336570936868465,0.006418351823303095
0.039810717055349734,0.18633923121795332,0.313660768782047,0.06679857059522971,0.43320142940476986,0.0047589994166608585,-0.004758999416660838,0.004758999416660831,0.004758999419855728,0.006818496474210179,1.432758416771752,0.007138499124991288
0.04466835921509635,0.18593248140130514,0.3140675185986954,0.06755396311186233,0.43244603688813715,0.005287774178303589,-0.005287774178303679,0.005287774178303671,0.005287774181261405,0.007571119593522859,1.431815984191057,0.007931661267455384
0.05011872336272725,0.18548541400757695,0.3145145859924235,0.06838423112878601,0.43161576887121356,0.005868961790150173,-0.00586896179015025,0.005868961790150243,0.005868961792720518,0.00839730646893858,1.4307993075289835,0.00880344268522526
0.05623413251903491,0.18499514436368197,0.31500485563631814,0.06929473189601933,0.4307052681039806,0.006506312327213493,-0.006506312327213541,0.006506312327213536,0.006506312332013527,0.009302253271278479,1.4297274395371184,0.009759468490820239
0.06309573444801936,0.18445883120338058,0.315541168796619,0.0702907420508643,0.4297092579491361,0.007203519435605016,-0.007203519435604974,0.007203519435604984,0.007203519438845819,0.010290770876378306,1.428575429516317,0.010805279153407524
0.0707945784384138,0.18387374185463357,0.31612625814536643,0.07137733655568046,0.42862266344431954,0.007964135588976351,-0.007964135588976323,0.007964135588976328,0.007964135594180997,0.01136776545965542,1.427369653018124,0.011946203383464526
0.07943282347242822,0.18323732879183424,0.3167626712081647,0.07255924652944994,0.42744075347055105,0.008791472570614967,-0.008791472570614876,0.008791472570614904,0.00879147257704702,0.012537613072190344,1.426110695598805,0.01318720885592245
0.08912509381337459,0.18254731712502237,0.3174526828749776,0.07384069676781563,0.4261593032321844,0.009688487737470913,-0.009688487737470941,0.009688487737470946,0.009688487743455945,0.013804298175622863,1.4248145367110494,0.01453273160620637
0.1,0.18180180180180183,0.31819819819819817,0.07522522522522522,0.4247747747747747,0.010657657657657638,-0.010657657657657665,0.010657657657657658,0.010657657662494746,0.015171009743670843,1.4234844300787581,0.015986486486486456
0.11220184543019641,0.18099935233249842,0.3190006476675016,0.07671548852536023,0.4232845114746398,0.011700841967752063,-0.01170084196775216,0.011700841967752167,0.011700841974667009,0.016640314784939818,1.422146784049135,0.017551262951628094
0.12589254117941676,0.1801391217521341,0.31986087824786524,0.07831305960317893,0.4216869403968217,0.012819141722225341,-0.012819141722225202,0.012819141722225235,0.012819141730300408,0.018213327905320514,1.4207915232164063,0.019228712583338012
0.14125375446227553,0.1792209553735562,0.3207790446264438,0.08001822573482421,0.4199817742651758,0.014012758014376958,-0.014012758014376951,0.014012758014376951,0.014012758022615143,0.01989049912393104,1.4194564047869687,0.021019137021565437
0.15848931924611143,0.17824549376905263,0.32175450623094737,0.08182979728604509,0.41817020271395494,0.015280858100231581,-0.01528085810023156,0.015280858100231566,0.01528085810857785,0.021671072933122232,1.4181842916895655,0.022921287150347372
0.1778279410038923,0.17721426348077862,0.3227857365192214,0.08374493924998244,0.41625506075001756,0.016621457474987805,-0.016621457474987715,0.01662145747498772,0.01662145748441465,0.02355206634509525,1.416967577432917,0.024932186212481708
0.19952623149688808,0.17612974836417764,0.3238702516358225,0.08575903875224167,0.4142409612477583,0.018031327126569158,-0.01803132712656918,0.01803132712656917,0.01803132713499664,0.025529597839500824,1.4158468563276712,0.027046990689853737
0.223872113856834,0.17499543437921494,0.3250045656207851,0.08786562186717228,0.4121343781328277,0.019505935307020633,-0.019505935307020605,0.019505935307020605,0.01950593531983673,0.02759790230545678,1.4148463969010938,0.02925890296053095
0.25118864315095824,0.17381582120554515,0.3261841787944549,0.09005633204684478,0.4099436679531552,0.021039432432791327,-0.021039432432791348,0.02103943243279134,0.02103943244440335,0.02974964790573159,1.4139947921287783,0.03155914864918699
0.2818382931264455,0.17259639535990748,0.3274036046400925,0.09232098004588614,0.4076790199541139,0.022624686032120256,-0.022624686032120297,0.0226246860321203,0.02262468604380288,0.031975835933055474,1.4133162277323166,0.033937029048180384
0.31622776601683794,0.1713435615420361,0.32865643845796394,0.09464767142193296,0.405352328578067,0.024253369995353102,-0.02425336999535308,0.02425336999535308,0.0242533700067684,0.03426577519990981,1.4128253183102901,0.036380054993029654
0.3548133892335757,0.17006453162572838,0.3299354683742717,0.09702301269507593,0.40297698730492404,0.025916108886553157,-0.025916108886553157,0.025916108886553154,0.02591610889871379,0.03660788963633088,1.4125534731854643,0.038874163329829736
0.3981071705534973,0.16876717382596632,0.3312328261740337,0.0994323914660626,0.4005676085339374,0.027602674026243806,-0.02760267402624382,0.027602674026243803,0.02760267403929817,0.03898885242437089,1.4125027295856234,0.04140401103936571
0.4466835921509635,0.16745982779348823,0.3325401722065118,0.10186031981209329,0.39813968018790674,0.029302223868465316,-0.029302223868465302,0.029302223868465302,0.029302223885155354,0.04139471959652141,1.4126818414452214,0.043953335802697974
0.5011872336272725,0.16615109433794215,0.3338489056620579,0.10429082480096459,0.3957091751990353,0.031003577360675216,-0.031003577360675223,0.03100357736067521,0.031003577374323632,0.043811081845701594,1.4130976344034676,0.046505366041012824
