Omega,switch_rate,excited_population,coherence_l1,J_hot,J_cold,drive_power,sigma_full,sigma_coarse,sigma_hidden,FCS_mean_hot,FCS_variance_hot,Fano_hot
0.0,44.668359215096345,0.2981439892340063,0.0,0.09289016418394014,-0.0928901641839408,0.0,0.13004622985751751,5.667975504540111e-16,0.13004622985751696,0.09289016464192376,0.14556241017751073,1.567037917723903
0.0,50.11872336272725,0.29826226463541305,0.0,0.09306918486965499,-0.09306918486965643,0.0,0.13029685881751987,1.228061359317024e-15,0.13029685881751865,0.09306918517389925,0.14587389808725595,1.5673705299416922
0.0,56.23413251903491,0.2983680625763976,0.0,0.09322931977274951,-0.09322931977274886,0.0,0.13052104768184802,-5.549892681528858e-16,0.13052104768184858,0.09322932008093358,0.1461536018830523,1.5676785131134117
0.0,63.09573444801943,0.2984626623979129,0.0,0.09337250529327557,-0.09337250529327734,0.0,0.13072150741058935,1.5114601345440294e-15,0.13072150741058786,0.09337250564385936,0.14640319264511525,1.5679475626746604
0.0,70.79457843841388,0.29854721981172905,0.0,0.09350049070718253,-0.09350049070718243,0.0,0.13090068699005536,-8.26579761078766e-17,0.13090068699005544,0.0935004911364118,0.14662720779621322,1.568197193555835
0.0,79.43282347242821,0.2986227772880732,0.0,0.09361485388891883,-0.09361485388891916,0.0,0.131060795444487,2.8339877522700553e-16,0.13106079544448673,0.09361485412102495,0.14682717408587445,1.5684174852855808
0.0,89.12509381337459,0.2986902739051698,0.0,0.09371701621965078,-0.09371701621965206,0.0,0.13120382270751366,1.086361971703521e-15,0.13120382270751257,0.09371701655642918,0.14700678034766643,1.5686242024056565
0.0,100.0,0.29875055460806554,0.0,0.09380825660133074,-0.09380825660133281,0.0,0.13133155924186718,1.7594340628676592e-15,0.13133155924186543,0.09380825696806112,0.14716570862134498,1.5687926988287444
0.0,112.20184543019653,0.29880437884971434,0.0,0.09388972453577543,-0.09388972453577682,0.0,0.1314456143500884,1.180828230112523e-15,0.1314456143500872,0.09388972491606443,0.14730704861992858,1.568936843212803
0.0,125.89254117941688,0.2988524286069031,0.0,0.09396245225750083,-0.09396245225750183,0.0,0.13154743316050316,8.501963256810166e-16,0.1315474331605023,0.09396245265597104,0.1474346262329295,1.5690802237010408
0.0,141.25375446227554,0.2988953157782018,0.0,0.09402736593121053,-0.0940273659312087,0.0,0.13163831230369108,-1.5586932637485302e-15,0.13163831230369263,0.09402736627412807,0.1475520616818748,1.5692459283789832
0.0,158.48931924611142,0.2989335889817628,0.0,0.09408529594086157,-0.09408529594086601,0.0,0.13171941431721507,3.7786503363600734e-15,0.1317194143172113,0.09408529623100131,0.14765008397219875,1.5693215612531357
0.0,177.82794100389228,0.29896773977816393,0.0,0.09413698630857065,-0.094136986308574,0.0,0.13179178083200563,2.8576043168723055e-15,0.13179178083200277,0.09413698651897015,0.14774131003039706,1.5694289300478592
0.0,199.5262314968883,0.29899820834851887,0.0,0.09418310328888785,-0.09418310328888552,0.0,0.13185634460443832,-1.9837914265890388e-15,0.1318563446044403,0.09418310374924638,0.14782245879227102,1.5695220576488365
0.0,223.87211385683423,0.2990253886609117,0.0,0.0942242431886865,-0.09422424318868433,0.0,0.13191394046415678,-1.842092038975536e-15,0.1319139404641586,0.09422424378891708,0.14789577388690756,1.5696148670423553
0.0,251.18864315095823,0.2990496331597794,0.0,0.09426093946500536,-0.09426093946500541,0.0,0.1319653152510076,4.723312920450092e-17,0.13196531525100755,0.09426093989255635,0.14795672625649686,1.569650445085163
0.0,281.8382931264455,0.29907125701321935,0.0,0.09429366915371284,-0.09429366915371795,0.0,0.1320111368152082,4.345447886814084e-15,0.13201113681520385,0.0942936696231635,0.14801310827169323,1.5697035534115367
0.0,316.22776601683796,0.29909054195267876,0.0,0.09432285868125106,-0.09432285868125345,0.0,0.13205200215375626,2.0310245557935396e-15,0.13205200215375423,0.0943228594554076,0.14806068004326475,1.5697221320274164
0.0,354.81338923357606,0.29910773973848004,0.0,0.0943488891099899,-0.0943488891099868,0.0,0.13208844475397968,-2.6332469531509263e-15,0.13208844475398232,0.094348889410663,0.14810887337760792,1.5697998598897036
0.0,398.1071705534977,0.29912307528310833,0.0,0.09437210086562214,-0.09437210086562155,0.0,0.13212094121186982,-5.077561389483849e-16,0.13212094121187032,0.09437210095552338,0.14815928102404188,1.5699478926920134
0.0,446.6835921509635,0.29913674946249064,0.0,0.09439279799232658,-0.09439279799233008,0.0,0.13214991718926422,2.975687139883558e-15,0.13214991718926125,0.0943927982889777,0.14818808024623129,1.5699087529173852
0.0,501.18723362727246,0.29914894164362993,0.0,0.09441125197854855,-0.09441125197855185,0.0,0.13217575276997456,2.8103711876678047e-15,0.13217575276997176,0.0944112527505367,0.14821279917002161,1.5698637064126773
